rad: 73740 10.9729 1 1 0.572611
phi: 78488 11.454 1 6.7823e-05 0.548563
rad: 147480 21.9457 2 1 0.572611
phi: 157358 22.9892 2 7.62052e-05 0.546624
rad: 221219 32.9185 3 1 0.572613
phi: 237028 34.7145 3 4.4156e-05 0.54299
rad: 294959 43.8914 4 1 0.572613
phi: 317906 46.7782 4 5.63982e-06 0.537275
rad: 368699 54.8642 5 1 0.572612
phi: 400115 59.2843 5 2.5411e-05 0.52992
rad: 442439 65.8371 6 1 0.572612
phi: 483031 72.0545 6 1.30397e-06 0.523203
rad: 516179 76.8099 7 1 0.572612
phi: 565451 84.6373 7 3.49152e-05 0.519656
rad: 589919 87.7828 8 1 0.572612
phi: 646591 96.7824 8 4.84144e-05 0.519366
rad: 663658 98.7556 9 1 0.572612
phi: 726463 108.56 9 1.76833e-05 0.520898
rad: 737398 109.728 10 1 0.572612
phi: 805452 120.122 10 4.12643e-06 0.523068
rad: 811138 120.701 11 1 0.572612
phi: 883983 131.585 11 0.000108624 0.525252
rad: 884878 131.674 12 1 0.572612
rad: 958618 142.647 13 1 0.572612
phi: 962441 143.033 12 5.77682e-05 0.52714
