rad: 85493 18.3777 1 1 0.341893
phi: 97017 19.6902 1 2.33249e-05 0.319103
rad: 170987 36.7554 2 1 0.341892
phi: 204223 42.9176 2 1.00077e-05 0.292802
rad: 256480 55.1331 3 1 0.341892
phi: 319890 70.3 3 2.31989e-06 0.26813
rad: 341973 73.5107 4 1 0.341892
phi: 421243 91.24 4 7.49067e-05 0.275458
rad: 427466 91.8884 5 1 0.341892
rad: 512960 110.266 6 1 0.341892
phi: 517293 110.708 5 8.31811e-05 0.283773
rad: 598453 128.644 7 1 0.341892
phi: 616947 131.11 6 5.0081e-05 0.287539
rad: 683946 147.021 8 1 0.341892
phi: 730780 157.54 7 1.42608e-05 0.279183
rad: 769440 165.399 9 1 0.341892
phi: 840827 182.079 8 3.82825e-05 0.276064
rad: 854933 183.777 10 1 0.341892
phi: 938687 201.98 9 8.77985e-05 0.279972
rad: 940426 202.155 11 1 0.341892
