rad: 110806 40.3545 1 1 0.1557
phi: 129601 43.1887 1 4.0334e-05 0.145483
rad: 221612 80.709 2 1 0.1557
phi: 303908 115.208 2 1.42634e-05 0.109076
rad: 332418 121.063 3 1 0.1557
phi: 439995 161.09 3 5.08784e-05 0.117013
rad: 443224 161.418 4 1 0.1557
rad: 554029 201.772 5 1 0.1557
phi: 566419 203.3 4 5.02084e-05 0.123624
rad: 664835 242.127 6 1 0.1557
phi: 732087 269.408 5 2.31518e-06 0.116611
rad: 775641 282.481 7 1 0.1557
phi: 879657 322.108 6 7.23203e-05 0.117039
rad: 886447 322.836 8 1 0.1557
rad: 997253 363.19 9 1 0.1557
