rad: 95488 25.8872 1 1 0.242714
phi: 110363 27.7863 1 3.27566e-05 0.226127
rad: 190976 51.7743 2 1 0.242714
phi: 245397 67.5969 2 2.09404e-05 0.185902
rad: 286464 77.6615 3 1 0.242714
phi: 371937 102.416 3 1.36074e-05 0.184048
rad: 381952 103.549 4 1 0.242714
rad: 477440 129.436 5 1 0.242714
phi: 480578 129.754 4 0.000105596 0.193697
rad: 572928 155.323 6 1 0.242714
phi: 594315 158.603 5 4.65272e-06 0.198079
rad: 668416 181.21 7 1 0.242714
phi: 734602 201.525 6 2.94891e-05 0.18707
rad: 763904 207.097 8 1 0.242714
phi: 853260 232.34 7 3.6085e-05 0.189301
rad: 859392 232.984 9 1 0.242714
rad: 954880 258.872 10 1 0.242714
phi: 961410 259.561 8 8.39768e-05 0.193656
